$0;-1;1.9-SNAPSHOT;KIEKER;avh-ThinkPad-RSS;1;false;0;NANOSECONDS;1
$1;1283156545606695629;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976217;1283156498806187133;1283156498810645900;SRV1;1;1
$1;1283156545606848742;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976218;1283156498806222405;1283156498810658585;SRV1;1;1
$1;1283156545607002447;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976219;1283156498806260497;1283156498810671850;SRV1;1;1
$1;1283156545607160961;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976220;1283156498806295962;1283156498810684239;SRV1;1;1
$1;1283156545607317502;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976221;1283156498806330451;1283156498810697237;SRV1;1;1
$1;1283156545607473168;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976222;1283156498806366953;1283156498810710562;SRV0;1;1
$1;1283156545607631553;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976224;1283156498806401548;1283156498810723255;SRV1;1;1
$1;1283156545607789655;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976225;1283156498806437560;1283156498810736328;SRV1;1;1
$1;1283156545607945967;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976226;1283156498806477003;1283156498810749553;SRV0;1;1
$1;1283156545608107684;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976227;1283156498806512073;1283156498810762229;SRV1;1;1
$1;1283156545608268438;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976228;1283156498806549254;1283156498810775109;SRV1;1;1
$1;1283156545608432251;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976230;1283156498806588249;1283156498810788139;SRV1;1;1
$1;1283156545608587291;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976231;1283156498806623851;1283156498810800899;SRV1;1;1
$1;1283156545608745246;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976232;1283156498806659640;1283156498810814031;SRV0;1;1
$1;1283156545608903269;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976233;1283156498806694187;1283156498810826451;SRV1;1;1
$1;1283156545609058758;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976234;1283156498806730587;1283156498810838817;SRV1;1;1
$1;1283156545609214502;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976236;1283156498806766779;1283156498810851393;SRV1;1;1
$1;1283156545609376658;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976237;1283156498806801470;1283156498810863527;SRV0;1;1
$1;1283156545609535506;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976238;1283156498806837476;1283156498810876377;SRV1;1;1
$1;1283156545609693042;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976239;1283156498806873211;1283156498810889116;SRV1;1;1
$1;1283156545609857289;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976240;1283156498806907508;1283156498810902305;SRV0;1;1
$1;1283156545610006832;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976241;1283156498806941264;1283156498810915354;SRV1;1;1
$1;1283156545610152953;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976242;1283156498806975664;1283156498810927933;SRV1;1;1
$1;1283156545610305760;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976243;1283156498807010379;1283156498810940266;SRV0;1;1
$1;1283156545610463254;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976244;1283156498807045371;1283156498810953197;SRV0;1;1
$1;1283156545610615405;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976245;1283156498807079982;1283156498810965481;SRV1;1;1
$1;1283156545610769991;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976246;1283156498807114102;1283156498810977633;SRV1;1;1
$1;1283156545610923570;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976247;1283156498807148697;1283156498810991229;SRV0;1;1
$1;1283156545611080147;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976248;1283156498807182865;1283156498811004722;SRV1;1;1
$1;1283156545611229769;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976249;1283156498807217168;1283156498811017687;SRV1;1;1
$1;1283156545611379216;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976250;1283156498807251844;1283156498811030515;SRV1;1;1
$1;1283156545611531788;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976197;1283156498805636916;1283156498812029684;SRV1;1;1
$1;1283156545611684107;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976198;1283156498805683549;1283156498812046901;SRV1;1;1
$1;1283156545611833638;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976200;1283156498805721278;1283156498812060767;SRV1;1;1
$1;1283156545612034698;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976201;1283156498805757674;1283156498812073894;SRV1;1;1
$1;1283156545612195212;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976202;1283156498805793845;1283156498812086632;SRV1;1;1
$1;1283156545612351377;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976203;1283156498805828566;1283156498812100090;SRV1;1;1
$1;1283156545612510056;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976204;1283156498805864819;1283156498812113502;SRV1;1;1
$1;1283156545612669542;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976209;1283156498806015941;1283156498812127386;SRV1;1;1
$1;1283156545612828552;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976211;1283156498806070615;1283156498812141000;SRV0;1;1
$1;1283156545612984007;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976213;1283156498806105595;1283156498812154009;SRV1;1;1
$1;1283156545613176743;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976216;1283156498806185022;1283156498812167097;SRV0;1;1
$1;1283156545613338108;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976223;1283156498806373067;1283156498812179968;SRV1;1;1
$1;1283156545613504201;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976229;1283156498806561963;1283156498812259524;SRV0;1;1
$1;1283156545613660589;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976235;1283156498806760599;1283156498812347804;SRV1;1;1
$1;1283156545613823503;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976251;1283156498817066453;1283156498819229395;SRV1;1;1
$1;1283156545613979127;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976252;1283156498817215999;1283156498819283703;SRV1;1;1
$1;1283156545614143679;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976253;1283156498817253129;1283156498819318586;SRV1;1;1
$1;1283156545614299727;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976256;1283156498817304856;1283156498819328161;SRV1;1;1
$1;1283156545614463359;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976255;1283156498817295435;1283156498819363532;SRV1;1;1
$1;1283156545614618980;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976254;1283156498817267164;1283156498819366726;SRV0;1;1
$1;1283156545614774703;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976257;1283156498817340149;1283156498819407134;SRV1;1;1
$1;1283156545614936083;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976258;1283156498817375286;1283156498819441555;SRV0;1;1
$1;1283156545615091939;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976259;1283156498817410864;1283156498819479256;SRV1;1;1
$1;1283156545615265101;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976260;1283156498817445652;1283156498819513824;SRV0;1;1
$1;1283156545615426216;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976262;1283156498817523790;1283156498819550840;SRV1;1;1
$1;1283156545615604881;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976261;1283156498817487652;1283156498819585399;SRV0;1;1
$1;1283156545615762733;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976264;1283156498817595590;1283156498819622455;SRV0;1;1
$1;1283156545615919239;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976263;1283156498817560069;1283156498819656947;SRV0;1;1
$1;1283156545616079109;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976266;1283156498817666672;1283156498819706404;SRV1;1;1
$1;1283156545622739404;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976265;1283156498817631635;1283156498819742398;SRV1;1;1
